Author 1,Author 2
David Grass,Warren S. Warren
David Grass,"Eric Westman,"
Isaac Henrion,Warren S. Warren
Isaac Henrion,"Eric Westman,"
Warren S. Warren,"Eric Westman,"
P. Anfinrud,V. Stadnytskyi
P. Anfinrud,C. Bax
P. Anfinrud,"A. Bax,"
V. Stadnytskyi,C. Bax
V. Stadnytskyi,"A. Bax,"
C. Bax,"A. Bax,"
Zhihao Zhou,Kyle Chen
Zhihao Zhou,Xiaoshi Li
Zhihao Zhou,Songlin Zhang
Zhihao Zhou,Yufen Wu
Zhihao Zhou,Yihao Zhou
Zhihao Zhou,Keyu Meng
Zhihao Zhou,Chenchen Sun
Zhihao Zhou,Qiang He
Zhihao Zhou,Wenjing Fan
Zhihao Zhou,Endong Fan
Zhihao Zhou,Zhiwei Lin
Zhihao Zhou,Xulong Tan
Zhihao Zhou,W. Deng
Zhihao Zhou,Jin Yang
Zhihao Zhou,"Jun Chen,"
Kyle Chen,Xiaoshi Li
Kyle Chen,Songlin Zhang
Kyle Chen,Yufen Wu
Kyle Chen,Yihao Zhou
Kyle Chen,Keyu Meng
Kyle Chen,Chenchen Sun
Kyle Chen,Qiang He
Kyle Chen,Wenjing Fan
Kyle Chen,Endong Fan
Kyle Chen,Zhiwei Lin
Kyle Chen,Xulong Tan
Kyle Chen,W. Deng
Kyle Chen,Jin Yang
Kyle Chen,"Jun Chen,"
Xiaoshi Li,Songlin Zhang
Xiaoshi Li,Yufen Wu
Xiaoshi Li,Yihao Zhou
Xiaoshi Li,Keyu Meng
Xiaoshi Li,Chenchen Sun
Xiaoshi Li,Qiang He
Xiaoshi Li,Wenjing Fan
Xiaoshi Li,Endong Fan
Xiaoshi Li,Zhiwei Lin
Xiaoshi Li,Xulong Tan
Xiaoshi Li,W. Deng
Xiaoshi Li,Jin Yang
Xiaoshi Li,"Jun Chen,"
Songlin Zhang,Yufen Wu
Songlin Zhang,Yihao Zhou
Songlin Zhang,Keyu Meng
Songlin Zhang,Chenchen Sun
Songlin Zhang,Qiang He
Songlin Zhang,Wenjing Fan
Songlin Zhang,Endong Fan
Songlin Zhang,Zhiwei Lin
Songlin Zhang,Xulong Tan
Songlin Zhang,W. Deng
Songlin Zhang,Jin Yang
Songlin Zhang,"Jun Chen,"
Yufen Wu,Yihao Zhou
Yufen Wu,Keyu Meng
Yufen Wu,Chenchen Sun
Yufen Wu,Qiang He
Yufen Wu,Wenjing Fan
Yufen Wu,Endong Fan
Yufen Wu,Zhiwei Lin
Yufen Wu,Xulong Tan
Yufen Wu,W. Deng
Yufen Wu,Jin Yang
Yufen Wu,"Jun Chen,"
Yihao Zhou,Keyu Meng
Yihao Zhou,Chenchen Sun
Yihao Zhou,Qiang He
Yihao Zhou,Wenjing Fan
Yihao Zhou,Endong Fan
Yihao Zhou,Zhiwei Lin
Yihao Zhou,Xulong Tan
Yihao Zhou,W. Deng
Yihao Zhou,Jin Yang
Yihao Zhou,"Jun Chen,"
Keyu Meng,Chenchen Sun
Keyu Meng,Qiang He
Keyu Meng,Wenjing Fan
Keyu Meng,Endong Fan
Keyu Meng,Zhiwei Lin
Keyu Meng,Xulong Tan
Keyu Meng,W. Deng
Keyu Meng,Jin Yang
Keyu Meng,"Jun Chen,"
Chenchen Sun,Qiang He
Chenchen Sun,Wenjing Fan
Chenchen Sun,Endong Fan
Chenchen Sun,Zhiwei Lin
Chenchen Sun,Xulong Tan
Chenchen Sun,W. Deng
Chenchen Sun,Jin Yang
Chenchen Sun,"Jun Chen,"
Qiang He,Wenjing Fan
Qiang He,Endong Fan
Qiang He,Zhiwei Lin
Qiang He,Xulong Tan
Qiang He,W. Deng
Qiang He,Jin Yang
Qiang He,"Jun Chen,"
Wenjing Fan,Endong Fan
Wenjing Fan,Zhiwei Lin
Wenjing Fan,Xulong Tan
Wenjing Fan,W. Deng
Wenjing Fan,Jin Yang
Wenjing Fan,"Jun Chen,"
Endong Fan,Zhiwei Lin
Endong Fan,Xulong Tan
Endong Fan,W. Deng
Endong Fan,Jin Yang
Endong Fan,"Jun Chen,"
Zhiwei Lin,Xulong Tan
Zhiwei Lin,W. Deng
Zhiwei Lin,Jin Yang
Zhiwei Lin,"Jun Chen,"
Xulong Tan,W. Deng
Xulong Tan,Jin Yang
Xulong Tan,"Jun Chen,"
W. Deng,Jin Yang
W. Deng,"Jun Chen,"
Jin Yang,"Jun Chen,"
Andy T. Liu,Shang-Wen Li
Andy T. Liu,"Hung-yi Lee,"
Shang-Wen Li,"Hung-yi Lee,"
Binny Mathew,Punyajoy Saha
Binny Mathew,Seid Muhie Yimam
Binny Mathew,Chris Biemann
Binny Mathew,Pawan Goyal
Binny Mathew,"Animesh Mukherjee,"
Punyajoy Saha,Seid Muhie Yimam
Punyajoy Saha,Chris Biemann
Punyajoy Saha,Pawan Goyal
Punyajoy Saha,"Animesh Mukherjee,"
Seid Muhie Yimam,Chris Biemann
Seid Muhie Yimam,Pawan Goyal
Seid Muhie Yimam,"Animesh Mukherjee,"
Chris Biemann,Pawan Goyal
Chris Biemann,"Animesh Mukherjee,"
Pawan Goyal,"Animesh Mukherjee,"
Alexandre DÃ©fossez,Gabriel Synnaeve
Gabriel Synnaeve,"Yossi Adi,"
Jing-jing Chen,Qi-rong Mao
Jing-jing Chen,"Dong Liu,"
Qi-rong Mao,"Dong Liu,"
S. Luz,F. Haider
S. Luz,Sofia de la Fuente
S. Luz,Davida Fromm
S. Luz,"B. MacWhinney,"
F. Haider,Sofia de la Fuente
F. Haider,Davida Fromm
F. Haider,"B. MacWhinney,"
Sofia de la Fuente,Davida Fromm
Sofia de la Fuente,"B. MacWhinney,"
Davida Fromm,"B. MacWhinney,"
Changhan Wang,Yun Tang
Changhan Wang,Xutai Ma
Changhan Wang,Anne Wu
Changhan Wang,Dmytro Okhonko
Changhan Wang,"J. Pino,"
Yun Tang,Xutai Ma
Yun Tang,Anne Wu
Yun Tang,Dmytro Okhonko
Yun Tang,"J. Pino,"
Xutai Ma,Anne Wu
Xutai Ma,Dmytro Okhonko
Xutai Ma,"J. Pino,"
Anne Wu,Dmytro Okhonko
Anne Wu,"J. Pino,"
Dmytro Okhonko,"J. Pino,"
Ali Safaya,Moutasem Abdullatif
Ali Safaya,"Deniz Yuret,"
Moutasem Abdullatif,"Deniz Yuret,"
Yu Zhang,James Qin
Yu Zhang,Daniel S. Park
Yu Zhang,Wei Han
Yu Zhang,C. Chiu
Yu Zhang,Ruoming Pang
Yu Zhang,Quoc V. Le
Yu Zhang,"Yonghui Wu,"
James Qin,Daniel S. Park
James Qin,Wei Han
James Qin,C. Chiu
James Qin,Ruoming Pang
James Qin,Quoc V. Le
James Qin,"Yonghui Wu,"
Daniel S. Park,Wei Han
Daniel S. Park,C. Chiu
Daniel S. Park,Ruoming Pang
Daniel S. Park,Quoc V. Le
Daniel S. Park,"Yonghui Wu,"
Wei Han,C. Chiu
Wei Han,Ruoming Pang
Wei Han,Quoc V. Le
Wei Han,"Yonghui Wu,"
C. Chiu,Ruoming Pang
C. Chiu,Quoc V. Le
C. Chiu,"Yonghui Wu,"
Ruoming Pang,Quoc V. Le
Ruoming Pang,"Yonghui Wu,"
Quoc V. Le,"Yonghui Wu,"
M. Ravanelli,Jianyuan Zhong
M. Ravanelli,Santiago Pascual
M. Ravanelli,P. Swietojanski
M. Ravanelli,JoÃ£o Monteiro
M. Ravanelli,J. Trmal
M. Ravanelli,"Yoshua Bengio,"
Jianyuan Zhong,Santiago Pascual
Jianyuan Zhong,P. Swietojanski
Jianyuan Zhong,JoÃ£o Monteiro
Jianyuan Zhong,J. Trmal
Jianyuan Zhong,"Yoshua Bengio,"
Santiago Pascual,P. Swietojanski
Santiago Pascual,JoÃ£o Monteiro
Santiago Pascual,J. Trmal
Santiago Pascual,"Yoshua Bengio,"
P. Swietojanski,JoÃ£o Monteiro
P. Swietojanski,J. Trmal
P. Swietojanski,"Yoshua Bengio,"
JoÃ£o Monteiro,J. Trmal
J. Trmal,"Yoshua Bengio,"
Cem Subakan,M. Ravanelli
Cem Subakan,Samuele Cornell
Cem Subakan,Mirko Bronzi
Cem Subakan,"Jianyuan Zhong,"
M. Ravanelli,Samuele Cornell
M. Ravanelli,Mirko Bronzi
M. Ravanelli,"Jianyuan Zhong,"
Samuele Cornell,Mirko Bronzi
Samuele Cornell,"Jianyuan Zhong,"
Mirko Bronzi,"Jianyuan Zhong,"
Ke Tan,"Deliang Wang,"
Shinji Watanabe,Michael Mandel
Shinji Watanabe,J. Barker
Shinji Watanabe,"E. Vincent,"
Michael Mandel,J. Barker
Michael Mandel,"E. Vincent,"
J. Barker,"E. Vincent,"
Daniel S. Park,Yu Zhang
Daniel S. Park,Ye Jia
Daniel S. Park,Wei Han
Daniel S. Park,C. Chiu
Daniel S. Park,Bo Li
Daniel S. Park,Yonghui Wu
Daniel S. Park,"Quoc V. Le,"
Yu Zhang,Ye Jia
Yu Zhang,Wei Han
Yu Zhang,C. Chiu
Yu Zhang,Bo Li
Yu Zhang,Yonghui Wu
Yu Zhang,"Quoc V. Le,"
Ye Jia,Wei Han
Ye Jia,C. Chiu
Ye Jia,Bo Li
Ye Jia,Yonghui Wu
Ye Jia,"Quoc V. Le,"
Wei Han,C. Chiu
Wei Han,Bo Li
Wei Han,Yonghui Wu
Wei Han,"Quoc V. Le,"
C. Chiu,Bo Li
C. Chiu,Yonghui Wu
C. Chiu,"Quoc V. Le,"
Bo Li,Yonghui Wu
Bo Li,"Quoc V. Le,"
Yonghui Wu,"Quoc V. Le,"
Fabio Poletto,Valerio Basile
Fabio Poletto,M. Sanguinetti
Fabio Poletto,C. Bosco
Fabio Poletto,"V. Patti,"
Valerio Basile,M. Sanguinetti
Valerio Basile,C. Bosco
Valerio Basile,"V. Patti,"
M. Sanguinetti,C. Bosco
M. Sanguinetti,"V. Patti,"
C. Bosco,"V. Patti,"
D. Poeppel,"M. F. Assaneo,"
Thomas Mandl,Sandip J Modha
Thomas Mandl,M. Anandkumar
Thomas Mandl,"Bharathi Raja Chakravarthi,"
Sandip J Modha,M. Anandkumar
Sandip J Modha,"Bharathi Raja Chakravarthi,"
M. Anandkumar,"Bharathi Raja Chakravarthi,"
Neil Zeghidour,"David Grangier,"
Wei Han,Zhengdong Zhang
Wei Han,Yu Zhang
Wei Han,Jiahui Yu
Wei Han,C. Chiu
Wei Han,James Qin
Wei Han,Anmol Gulati
Wei Han,Ruoming Pang
Wei Han,"Yonghui Wu,"
Zhengdong Zhang,Yu Zhang
Zhengdong Zhang,Jiahui Yu
Zhengdong Zhang,C. Chiu
Zhengdong Zhang,James Qin
Zhengdong Zhang,Anmol Gulati
Zhengdong Zhang,Ruoming Pang
Zhengdong Zhang,"Yonghui Wu,"
Yu Zhang,Jiahui Yu
Yu Zhang,C. Chiu
Yu Zhang,James Qin
Yu Zhang,Anmol Gulati
Yu Zhang,Ruoming Pang
Yu Zhang,"Yonghui Wu,"
Jiahui Yu,C. Chiu
Jiahui Yu,James Qin
Jiahui Yu,Anmol Gulati
Jiahui Yu,Ruoming Pang
Jiahui Yu,"Yonghui Wu,"
C. Chiu,James Qin
C. Chiu,Anmol Gulati
C. Chiu,Ruoming Pang
C. Chiu,"Yonghui Wu,"
James Qin,Anmol Gulati
James Qin,Ruoming Pang
James Qin,"Yonghui Wu,"
Anmol Gulati,Ruoming Pang
Anmol Gulati,"Yonghui Wu,"
Ruoming Pang,"Yonghui Wu,"
R. Corey,Uriah Jones
R. Corey,"A. Singer,"
Uriah Jones,"A. Singer,"
M. Abkarian,Simon Mendez
M. Abkarian,Nan Xue
M. Abkarian,Fan Yang
M. Abkarian,"H. Stone,"
Simon Mendez,Nan Xue
Simon Mendez,Fan Yang
Simon Mendez,"H. Stone,"
Nan Xue,Fan Yang
Nan Xue,"H. Stone,"
Fan Yang,"H. Stone,"
Zhuo Chen,Takuya Yoshioka
Zhuo Chen,Liang Lu
Zhuo Chen,Tianyan Zhou
Zhuo Chen,Zhong Meng
Zhuo Chen,Yi Luo
Zhuo Chen,Jian Wu
Zhuo Chen,"Jinyu Li,"
Takuya Yoshioka,Liang Lu
Takuya Yoshioka,Tianyan Zhou
Takuya Yoshioka,Zhong Meng
Takuya Yoshioka,Yi Luo
Takuya Yoshioka,Jian Wu
Takuya Yoshioka,"Jinyu Li,"
Liang Lu,Jian Wu
Tianyan Zhou,Jian Wu
Zhong Meng,Jian Wu
Yi Luo,Jian Wu
Jian Wu,"Jinyu Li,"
Dias Issa,M. F. Demirci
Dias Issa,"A. YazÄ±cÄ±,"
M. F. Demirci,"A. YazÄ±cÄ±,"
Sima Asadi,A. Wexler
Sima Asadi,C. Cappa
Sima Asadi,Santiago Barreda
Sima Asadi,N. Bouvier
Sima Asadi,"W. Ristenpart,"
A. Wexler,C. Cappa
A. Wexler,Santiago Barreda
A. Wexler,N. Bouvier
A. Wexler,"W. Ristenpart,"
C. Cappa,Santiago Barreda
C. Cappa,N. Bouvier
C. Cappa,"W. Ristenpart,"
Santiago Barreda,N. Bouvier
Santiago Barreda,"W. Ristenpart,"
N. Bouvier,"W. Ristenpart,"
NicolÃ¡s Ajzenman,Tiago Cavalcanti
Tiago Cavalcanti,"Daniel Da Mata,"
J. Lacan,Alan Sheridan
J. Lacan,"M. Bowie,"
Alan Sheridan,"M. Bowie,"
Joris Cosentino,Samuele Cornell
Manuel Pariente,Samuele Cornell
Samuele Cornell,Antoine Deleforge
Samuele Cornell,"E. Vincent,"
Kaizhi Qian,Yang Zhang
Yang Zhang,Shiyu Chang
Yang Zhang,David Cox
Yang Zhang,"M. Hasegawa-Johnson,"
H. Inaguma,Shun Kiyono
H. Inaguma,Kevin Duh
H. Inaguma,Shigeki Karita
H. Inaguma,Nelson Yalta
H. Inaguma,Tomoki Hayashi
H. Inaguma,"Shinji Watanabe,"
Shun Kiyono,Tomoki Hayashi
Kevin Duh,Tomoki Hayashi
Shigeki Karita,Tomoki Hayashi
Nelson Yalta,Tomoki Hayashi
Tomoki Hayashi,"Shinji Watanabe,"
Qiantong Xu,Alexei Baevski
Qiantong Xu,T. Likhomanenko
Qiantong Xu,Paden Tomasello
Qiantong Xu,Alexis Conneau
Qiantong Xu,Ronan Collobert
Qiantong Xu,Gabriel Synnaeve
Qiantong Xu,"Michael Auli,"
Alexei Baevski,T. Likhomanenko
Alexei Baevski,Paden Tomasello
Alexei Baevski,Alexis Conneau
Alexei Baevski,Ronan Collobert
Alexei Baevski,Gabriel Synnaeve
Alexei Baevski,"Michael Auli,"
T. Likhomanenko,Alexis Conneau
T. Likhomanenko,Ronan Collobert
T. Likhomanenko,Gabriel Synnaeve
Paden Tomasello,Alexis Conneau
Paden Tomasello,Ronan Collobert
Paden Tomasello,Gabriel Synnaeve
Alexis Conneau,Ronan Collobert
Alexis Conneau,Gabriel Synnaeve
Alexis Conneau,"Michael Auli,"
Ronan Collobert,Gabriel Synnaeve
Ronan Collobert,"Michael Auli,"
Gabriel Synnaeve,"Michael Auli,"
Valerio Basile,D. Croce
Valerio Basile,Maria Di Maro
Valerio Basile,"Lucia C. Passaro,"
Jinyu Li,Yu Wu
Jinyu Li,Yashesh Gaur
Jinyu Li,Chengyi Wang
Jinyu Li,Rui Zhao
Jinyu Li,"Shujie Liu,"
Yu Wu,Yashesh Gaur
Yu Wu,Chengyi Wang
Yu Wu,Rui Zhao
Yu Wu,"Shujie Liu,"
Yashesh Gaur,Chengyi Wang
Chengyi Wang,Rui Zhao
Chengyi Wang,"Shujie Liu,"
Guangzhi Sun,Yu Zhang
Yu Zhang,Ron J. Weiss
Yu Zhang,Yuanbin Cao
Yu Zhang,H. Zen
Yu Zhang,"Yonghui Wu,"
Qiantong Xu,T. Likhomanenko
Qiantong Xu,Jacob Kahn
Qiantong Xu,Awni Y. Hannun
Qiantong Xu,Gabriel Synnaeve
Qiantong Xu,"Ronan Collobert,"
T. Likhomanenko,Gabriel Synnaeve
Jacob Kahn,Gabriel Synnaeve
Awni Y. Hannun,Gabriel Synnaeve
Gabriel Synnaeve,"Ronan Collobert,"
Sai Saket Aluru,Binny Mathew
Sai Saket Aluru,Punyajoy Saha
Binny Mathew,Punyajoy Saha
Binny Mathew,"Animesh Mukherjee,"
Punyajoy Saha,"Animesh Mukherjee,"
Guangzhi Sun,Yu Zhang
Yu Zhang,Ron J. Weiss
Yu Zhang,Yuan Cao
Yu Zhang,H. Zen
Yu Zhang,A. Rosenberg
Yu Zhang,B. Ramabhadran
Yu Zhang,"Yonghui Wu,"
F. Haider,S. de la Fuente
F. Haider,"S. Luz,"
Xie Chen,Yu Wu
Xie Chen,Shujie Liu
Yu Wu,Zhenghao Wang
Yu Wu,Shujie Liu
Yu Wu,"Jinyu Li,"
Zhenghao Wang,Shujie Liu
Shujie Liu,"Jinyu Li,"
E. Kharitonov,Gabriel Synnaeve
E. Kharitonov,Pierre-Emmanuel Mazar'e
M. RiviÃ¨re,Gabriel Synnaeve
M. RiviÃ¨re,Pierre-Emmanuel Mazar'e
Gabriel Synnaeve,Lior Wolf
Gabriel Synnaeve,Pierre-Emmanuel Mazar'e
Gabriel Synnaeve,Matthijs Douze
Gabriel Synnaeve,"Emmanuel Dupoux,"
Lior Wolf,Pierre-Emmanuel Mazar'e
Pierre-Emmanuel Mazar'e,Matthijs Douze
Pierre-Emmanuel Mazar'e,"Emmanuel Dupoux,"
Xian Li,Changhan Wang
Xian Li,Yun Tang
Xian Li,J. Pino
Xian Li,Alexei Baevski
Xian Li,Alexis Conneau
Changhan Wang,Yun Tang
Changhan Wang,C. Tran
Changhan Wang,Yuqing Tang
Changhan Wang,J. Pino
Changhan Wang,Alexei Baevski
Changhan Wang,Alexis Conneau
Changhan Wang,"Michael Auli,"
Yun Tang,C. Tran
Yun Tang,Yuqing Tang
Yun Tang,J. Pino
Yun Tang,Alexei Baevski
Yun Tang,Alexis Conneau
Yun Tang,"Michael Auli,"
C. Tran,J. Pino
C. Tran,Alexei Baevski
C. Tran,Alexis Conneau
Yuqing Tang,J. Pino
Yuqing Tang,Alexei Baevski
Yuqing Tang,Alexis Conneau
J. Pino,Alexei Baevski
J. Pino,Alexis Conneau
J. Pino,"Michael Auli,"
Alexei Baevski,Alexis Conneau
Alexei Baevski,"Michael Auli,"
Alexis Conneau,"Michael Auli,"
Sanyuan Chen,Yu Wu
Sanyuan Chen,Zhuo Chen
Sanyuan Chen,Jinyu Li
Sanyuan Chen,Chengyi Wang
Sanyuan Chen,Shujie Liu
Sanyuan Chen,"M. Zhou,"
Yu Wu,Zhuo Chen
Yu Wu,Jinyu Li
Yu Wu,Chengyi Wang
Yu Wu,Shujie Liu
Yu Wu,"M. Zhou,"
Zhuo Chen,Jinyu Li
Zhuo Chen,Chengyi Wang
